id_question,text_question
1,Скільки материків на Землі?
2,Яка столиця Франції?
3,Скільки планет у Сонячній системі?
4,Яка найвища гора у світі?
5,Хто написав 'Кобзар'?
6,Який хімічний елемент має символ 'O'?
7,Скільки океанів на Землі?
8,Яка найбільша країна за площею?
9,Яке місто називають Великим Яблуком?
10,Хто відкрив Америку?
11,Який колір має небо?
12,Скільки ніг у павука?
13,Хто є автором теорії відносності?
14,Який м'яз найсильніший у тілі людини?
15,Який орган фільтрує кров у людини?
16,Яка тварина є найбільшою у світі?
17,Яка річка найдовша у світі?
18,Скільки зубів має доросла людина?
19,Як називається найбільший океан?
20,Яка країна відома піцою?
21,Який газ є основним у складі повітря?
22,Який найбільший континент за площею?
23,Яка найменша птах у світі?
24,Хто автор картини 'Мона Ліза'?
25,Який метал найкращий провідник електрики?
26,Який напій виготовляють з винограду?
27,Який птах не вміє літати?
28,Яка мова є найпоширенішою у світі?
29,Яка планета найближча до Сонця?
30,Яка країна виграла найбільше чемпіонатів світу з футболу?
31,Яка річка протікає через Париж?
32,Яка частина тіла виробляє інсулін?
33,Скільки кісток у дорослому організмі?
34,Хто створив персонажа Гаррі Поттера?
35,Який елемент таблиці Менделєєва має атомний номер 1?
36,Яка планета відома своїми кільцями?
37,Яке місто є столицею Японії?
38,Яка країна відома фламенко?
39,Який колір утворюється при змішуванні синього і жовтого?
40,Який океан найглибший?
41,Хто написав 'Іліаду' і 'Одіссею'?
42,Яка планета має червоний колір?
43,Яке дерево вважають символом Японії?
44,Яка найшвидша наземна тварина?
45,Який вид музики виник у Новому Орлеані?
46,Який найменший океан на планеті?
47,Яка столиця Канади?
48,Яка найпопулярніша мова програмування у світі?
49,Який континент найспекотніший?
